Year,Division,Indicator,Description,Number of Students Missing 10% or More of the Days Enrolled,Number of Students Enrolled for Half the Year or More,Chronic Absenteeism Rate,
2019,Loudoun County Public Schools,Forest Grove Elementary,Chronic Absenteeism,2018 - 2019,44,558,7.89
2019,Loudoun County Public Schools,Frances Hazel Reid Elementary,Chronic Absenteeism,2018 - 2019,43,671,6.41
2019,Loudoun County Public Schools,Frederick Douglass Elementary,Chronic Absenteeism,2018 - 2019,82,686,11.95
2019,Loudoun County Public Schools,Freedom High ,Chronic Absenteeism,2018 - 2019,141,2061,6.84
2019,Loudoun County Public Schools,Goshen Post Elementary,Chronic Absenteeism,2018 - 2019,93,1133,8.21
2019,Loudoun County Public Schools,Guilford Elementary,Chronic Absenteeism,2018 - 2019,37,552,6.7
2019,Loudoun County Public Schools,Hamilton Elementary,Chronic Absenteeism,2018 - 2019,14,183,7.65
2019,Loudoun County Public Schools,Harmony Middle,Chronic Absenteeism,2018 - 2019,100,1090,9.17
2019,Loudoun County Public Schools,Harper Park Middle,Chronic Absenteeism,2018 - 2019,71,1056,6.72
2019,Loudoun County Public Schools,Heritage High,Chronic Absenteeism,2018 - 2019,170,1433,11.86
2019,Loudoun County Public Schools,Hillsboro Charter Academy,Chronic Absenteeism,2018 - 2019,12,141,8.51
2019,Loudoun County Public Schools,Hillside Elementary,Chronic Absenteeism,2018 - 2019,37,752,4.92
2019,Loudoun County Public Schools,Horizon Elementary,Chronic Absenteeism,2018 - 2019,34,618,5.5
2019,Loudoun County Public Schools,Hutchison Farm Elementary,Chronic Absenteeism,2018 - 2019,59,753,7.84
2019,Loudoun County Public Schools,J. Lupton Simpson Middle,Chronic Absenteeism,2018 - 2019,86,1071,8.03
2019,Loudoun County Public Schools,J. Michael Lunsford Middle,Chronic Absenteeism,2018 - 2019,90,1639,5.49
2019,Loudoun County Public Schools,John Champe High School,Chronic Absenteeism,2018 - 2019,218,1649,13.22
2019,Loudoun County Public Schools,John W. Tolbert Jr. Elementary ,Chronic Absenteeism,2018 - 2019,39,698,5.59
2019,Loudoun County Public Schools,Kenneth W.Culbert Elementary,Chronic Absenteeism,2018 - 2019,34,503,6.76
2019,Loudoun County Public Schools,Leesburg Elementary,Chronic Absenteeism,2018 - 2019,38,487,7.8
2019,Loudoun County Public Schools,Legacy Elementary ,Chronic Absenteeism,2018 - 2019,51,989,5.16
2019,Loudoun County Public Schools,Liberty Elementary,Chronic Absenteeism,2018 - 2019,58,1027,5.65
2019,Loudoun County Public Schools,Lincoln Elementary,Chronic Absenteeism,2018 - 2019,3,92,3.26
2019,Loudoun County Public Schools,Little River Elementary,Chronic Absenteeism,2018 - 2019,22,744,2.96
2019,Loudoun County Public Schools,Loudoun County High,Chronic Absenteeism,2018 - 2019,190,1456,13.05
2019,Loudoun County Public Schools,Loudoun Valley High,Chronic Absenteeism,2018 - 2019,159,1333,11.93
2019,Loudoun County Public Schools,Lovettsville Elementary,Chronic Absenteeism,2018 - 2019,32,513,6.24
2019,Loudoun County Public Schools,Lowes Island Elementary,Chronic Absenteeism,2018 - 2019,15,596,2.52
2019,Loudoun County Public Schools,Lucketts Elementary,Chronic Absenteeism,2018 - 2019,15,292,5.14
2019,Loudoun County Public Schools,Madison's Trust Elementary,Chronic Absenteeism,2018 - 2019,102,1221,8.35
2019,Loudoun County Public Schools,Meadowland Elementary,Chronic Absenteeism,2018 - 2019,27,405,6.67
2019,Loudoun County Public Schools,Mercer Middle ,Chronic Absenteeism,2018 - 2019,71,1483,4.79
2019,Loudoun County Public Schools,Middleburg Community Charter,Chronic Absenteeism,2018 - 2019,2,139,1.44
2019,Loudoun County Public Schools,Mill Run Elementary,Chronic Absenteeism,2018 - 2019,59,908,6.5
2019,Loudoun County Public Schools,Moorefield Station Elementary,Chronic Absenteeism,2018 - 2019,82,947,8.66
2019,Loudoun County Public Schools,Mountain View Elementary,Chronic Absenteeism,2018 - 2019,43,647,6.65
2019,Loudoun County Public Schools,Newton-Lee Elementary ,Chronic Absenteeism,2018 - 2019,33,653,5.05
2019,Loudoun County Public Schools,Park View High,Chronic Absenteeism,2018 - 2019,319,1392,22.92
2019,Loudoun County Public Schools,Pinebrook Elementary,Chronic Absenteeism,2018 - 2019,64,905,7.07
2019,Loudoun County Public Schools,Potomac Falls High,Chronic Absenteeism,2018 - 2019,238,1610,14.78
2019,Loudoun County Public Schools,Potowmack Elementary,Chronic Absenteeism,2018 - 2019,45,542,8.3
2019,Loudoun County Public Schools,River Bend Middle,Chronic Absenteeism,2018 - 2019,112,1219,9.19
2019,Loudoun County Public Schools,Riverside High,Chronic Absenteeism,2018 - 2019,177,1791,9.88
2019,Loudoun County Public Schools,Rock Ridge High,Chronic Absenteeism,2018 - 2019,205,2189,9.37
2019,Loudoun County Public Schools,Rolling Ridge Elementary,Chronic Absenteeism,2018 - 2019,59,586,10.07
2019,Loudoun County Public Schools,Rosa Lee Carter Elementary,Chronic Absenteeism,2018 - 2019,94,911,10.32
2019,Loudoun County Public Schools,Round Hill Elementary,Chronic Absenteeism,2018 - 2019,42,507,8.28
2019,Loudoun County Public Schools,Sanders Corner Elementary,Chronic Absenteeism,2018 - 2019,29,527,5.5
2019,Loudoun County Public Schools,Seldens Landing Elementary,Chronic Absenteeism,2018 - 2019,44,724,6.08
2019,Loudoun County Public Schools,Seneca Ridge Middle,Chronic Absenteeism,2018 - 2019,68,1016,6.69
2019,Loudoun County Public Schools,Smart's Mill Middle ,Chronic Absenteeism,2018 - 2019,92,1072,8.58
2019,Loudoun County Public Schools,Sterling Elementary,Chronic Absenteeism,2018 - 2019,25,433,5.77
2019,Loudoun County Public Schools,Sterling Middle,Chronic Absenteeism,2018 - 2019,85,1043,8.15
2019,Loudoun County Public Schools,Steuart W. Weller Elementary,Chronic Absenteeism,2018 - 2019,56,776,7.22
2019,Loudoun County Public Schools,Stone Bridge High,Chronic Absenteeism,2018 - 2019,163,1709,9.54
2019,Loudoun County Public Schools,Stone Hill Middle,Chronic Absenteeism,2018 - 2019,70,1023,6.84
2019,Loudoun County Public Schools,Sugarland Elementary,Chronic Absenteeism,2018 - 2019,62,559,11.09
2019,Loudoun County Public Schools,Sully Elementary,Chronic Absenteeism,2018 - 2019,40,414,9.66
2019,Loudoun County Public Schools,Sycolin Creek Elementary,Chronic Absenteeism,2018 - 2019,38,690,5.51
2019,Loudoun County Public Schools,Trailside Middle,Chronic Absenteeism,2018 - 2019,76,1249,6.08
2019,Loudoun County Public Schools,Tuscarora High,Chronic Absenteeism,2018 - 2019,237,1471,16.11
2019,Loudoun County Public Schools,Waterford Elementary,Chronic Absenteeism,2018 - 2019,4,183,2.19
2019,Loudoun County Public Schools,Willard Middle School,Chronic Absenteeism,2018 - 2019,72,1339,5.38
2019,Loudoun County Public Schools,Woodgrove High,Chronic Absenteeism,2018 - 2019,236,1576,14.97
2019,Louisa County Public Schools,Jouett Elementary,Chronic Absenteeism,2018 - 2019,17,583,2.92
2019,Louisa County Public Schools,Louisa County High,Chronic Absenteeism,2018 - 2019,112,1386,8.08
2019,Louisa County Public Schools,Louisa County Middle,Chronic Absenteeism,2018 - 2019,128,1137,11.26
2019,Louisa County Public Schools,Moss-Nuckols Elementary,Chronic Absenteeism,2018 - 2019,30,586,5.12
2019,Louisa County Public Schools,Thomas Jefferson Elementary,Chronic Absenteeism,2018 - 2019,52,574,9.06
2019,Louisa County Public Schools,Trevilians Elementary,Chronic Absenteeism,2018 - 2019,29,462,6.28
2019,Lunenburg County Public Schools,Central High,Chronic Absenteeism,2018 - 2019,71,425,16.71
2019,Lunenburg County Public Schools,Kenbridge Elementary,Chronic Absenteeism,2018 - 2019,37,321,11.53
2019,Lunenburg County Public Schools,Lunenburg Middle,Chronic Absenteeism,2018 - 2019,49,372,13.17
2019,Lunenburg County Public Schools,Victoria Elementary,Chronic Absenteeism,2018 - 2019,40,365,10.96
2019,Lynchburg City Public Schools,Bedford Hills Elementary,Chronic Absenteeism,2018 - 2019,38,424,8.96
2019,Lynchburg City Public Schools,Dearington Elementary/Innovation ,Chronic Absenteeism,2018 - 2019,16,197,8.12
2019,Lynchburg City Public Schools,E.C. Glass High ,Chronic Absenteeism,2018 - 2019,235,1373,17.12
2019,Lynchburg City Public Schools,Heritage Elementary,Chronic Absenteeism,2018 - 2019,60,457,13.13
2019,Lynchburg City Public Schools,Heritage High,Chronic Absenteeism,2018 - 2019,206,1037,19.86
2019,Lynchburg City Public Schools,Linkhorne Elementary,Chronic Absenteeism,2018 - 2019,36,402,8.96
2019,Lynchburg City Public Schools,Linkhorne Middle,Chronic Absenteeism,2018 - 2019,101,565,17.88
2019,Lynchburg City Public Schools,Paul Laurence Dunbar Middle for Innovation ,Chronic Absenteeism,2018 - 2019,95,694,13.69
2019,Lynchburg City Public Schools,Paul Munro Elementary,Chronic Absenteeism,2018 - 2019,13,282,4.61
2019,Lynchburg City Public Schools,Perrymont Elementary,Chronic Absenteeism,2018 - 2019,52,313,16.61
2019,Lynchburg City Public Schools,Robert S. Payne Elementary,Chronic Absenteeism,2018 - 2019,84,487,17.25
2019,Lynchburg City Public Schools,Sandusky Elementary,Chronic Absenteeism,2018 - 2019,35,346,10.12
2019,Lynchburg City Public Schools,Sandusky Middle,Chronic Absenteeism,2018 - 2019,102,546,18.68
2019,Lynchburg City Public Schools,Sheffield Elementary,Chronic Absenteeism,2018 - 2019,36,366,9.84
2019,Lynchburg City Public Schools,T.C. Miller Elementary for Innovation,Chronic Absenteeism,2018 - 2019,25,233,10.73
2019,Lynchburg City Public Schools,William M. Bass Elementary,Chronic Absenteeism,2018 - 2019,15,212,7.08
2019,Madison County Public Schools,Madison County High,Chronic Absenteeism,2018 - 2019,75,529,14.18
2019,Madison County Public Schools,Madison Primary,Chronic Absenteeism,2018 - 2019,21,343,6.12
2019,Madison County Public Schools,Waverly Yowell Elementary,Chronic Absenteeism,2018 - 2019,22,381,5.77
2019,Madison County Public Schools,William H. Wetsel Middle,Chronic Absenteeism,2018 - 2019,19,425,4.47
2019,Manassas City Public Schools,Baldwin Elementary,Chronic Absenteeism,2018 - 2019,53,602,8.8
2019,Manassas City Public Schools,Baldwin Intermediate School,Chronic Absenteeism,2018 - 2019,26,296,8.78
2019,Manassas City Public Schools,George Carr Round Elementary,Chronic Absenteeism,2018 - 2019,52,555,9.37
2019,Manassas City Public Schools,Grace E. Metz Middle ,Chronic Absenteeism,2018 - 2019,189,1132,16.7
2019,Manassas City Public Schools,Jennie Dean Elementary,Chronic Absenteeism,2018 - 2019,56,579,9.67
2019,Manassas City Public Schools,Mayfield Intermediate,Chronic Absenteeism,2018 - 2019,126,883,14.27
2019,Manassas City Public Schools,Osbourn High,Chronic Absenteeism,2018 - 2019,373,2149,17.36
2019,Manassas City Public Schools,Richard C. Haydon Elementary,Chronic Absenteeism,2018 - 2019,62,579,10.71
2019,Manassas City Public Schools,Weems Elementary,Chronic Absenteeism,2018 - 2019,51,615,8.29
2019,Manassas Park City Public Schools,Cougar Elementary,Chronic Absenteeism,2018 - 2019,92,781,11.78
2019,Manassas Park City Public Schools,Manassas Park Elementary,Chronic Absenteeism,2018 - 2019,47,834,5.64
2019,Manassas Park City Public Schools,Manassas Park High,Chronic Absenteeism,2018 - 2019,197,1140,17.28
2019,Manassas Park City Public Schools,Manassas Park Middle,Chronic Absenteeism,2018 - 2019,73,839,8.7
2019,Martinsville City Public Schools,Albert Harris Elementary,Chronic Absenteeism,2018 - 2019,47,446,10.54
2019,Martinsville City Public Schools,Martinsville High,Chronic Absenteeism,2018 - 2019,86,543,15.84
2019,Martinsville City Public Schools,Martinsville Middle,Chronic Absenteeism,2018 - 2019,54,427,12.65
2019,Martinsville City Public Schools,Patrick Henry Elementary,Chronic Absenteeism,2018 - 2019,15,387,3.88
2019,Mathews County Public Schools,Lee-Jackson Elementary,Chronic Absenteeism,2018 - 2019,44,369,11.92
2019,Mathews County Public Schools,Mathews High,Chronic Absenteeism,2018 - 2019,63,358,17.6
2019,Mathews County Public Schools,Thomas Hunter Middle,Chronic Absenteeism,2018 - 2019,39,330,11.82
2019,Mecklenburg County Public Schools,Bluestone  High,Chronic Absenteeism,2018 - 2019,173,509,33.99
2019,Mecklenburg County Public Schools,Bluestone Middle,Chronic Absenteeism,2018 - 2019,52,372,13.98
2019,Mecklenburg County Public Schools,Chase City Elementary,Chronic Absenteeism,2018 - 2019,36,355,10.14
2019,Mecklenburg County Public Schools,Clarksville Elementary,Chronic Absenteeism,2018 - 2019,42,423,9.93
2019,Mecklenburg County Public Schools,LaCrosse Elementary ,Chronic Absenteeism,2018 - 2019,43,369,11.65
2019,Mecklenburg County Public Schools,Park View High,Chronic Absenteeism,2018 - 2019,149,744,20.03
2019,Mecklenburg County Public Schools,Park View Middle,Chronic Absenteeism,2018 - 2019,54,546,9.89
2019,Mecklenburg County Public Schools,South Hill Elementary,Chronic Absenteeism,2018 - 2019,77,642,11.99
2019,Middlesex County Public Schools,Middlesex Elementary,Chronic Absenteeism,2018 - 2019,40,520,7.69
2019,Middlesex County Public Schools,Middlesex High,Chronic Absenteeism,2018 - 2019,55,367,14.99
2019,Middlesex County Public Schools,St. Clare Walker Middle School,Chronic Absenteeism,2018 - 2019,39,279,13.98
2019,Montgomery County Public Schools,Auburn Elementary,Chronic Absenteeism,2018 - 2019,34,554,6.14
2019,Montgomery County Public Schools,Auburn High,Chronic Absenteeism,2018 - 2019,54,409,13.2
2019,Montgomery County Public Schools,Auburn Middle,Chronic Absenteeism,2018 - 2019,32,285,11.23
2019,Montgomery County Public Schools,Belview Elementary,Chronic Absenteeism,2018 - 2019,19,236,8.05
2019,Montgomery County Public Schools,Blacksburg High,Chronic Absenteeism,2018 - 2019,146,1201,12.16
2019,Montgomery County Public Schools,Blacksburg Middle,Chronic Absenteeism,2018 - 2019,78,965,8.08
2019,Montgomery County Public Schools,Christiansburg Elementary,Chronic Absenteeism,2018 - 2019,42,451,9.31
2019,Montgomery County Public Schools,Christiansburg High,Chronic Absenteeism,2018 - 2019,177,1030,17.18
2019,Montgomery County Public Schools,Christiansburg Middle,Chronic Absenteeism,2018 - 2019,123,782,15.73
2019,Montgomery County Public Schools,Christiansburg Primary,Chronic Absenteeism,2018 - 2019,40,467,8.57
2019,Montgomery County Public Schools,Eastern Montgomery Elementary,Chronic Absenteeism,2018 - 2019,62,416,14.9
2019,Montgomery County Public Schools,Eastern Montgomery High,Chronic Absenteeism,2018 - 2019,60,264,22.73
2019,Montgomery County Public Schools,Falling Branch Elementary,Chronic Absenteeism,2018 - 2019,58,497,11.67
2019,Montgomery County Public Schools,Gilbert Linkous Elementary,Chronic Absenteeism,2018 - 2019,27,349,7.74
2019,Montgomery County Public Schools,Harding Avenue Elementary,Chronic Absenteeism,2018 - 2019,11,343,3.21
2019,Montgomery County Public Schools,Kipps Elementary,Chronic Absenteeism,2018 - 2019,13,403,3.23
2019,Montgomery County Public Schools,Margaret Beeks Elementary,Chronic Absenteeism,2018 - 2019,24,405,5.93
2019,Montgomery County Public Schools,Prices Fork Elementary,Chronic Absenteeism,2018 - 2019,48,422,11.37
2019,Montgomery County Public Schools,Shawsville Middle,Chronic Absenteeism,2018 - 2019,36,224,16.07
2019,Nelson County Public Schools,Nelson County High,Chronic Absenteeism,2018 - 2019,87,605,14.38
2019,Nelson County Public Schools,Nelson Middle,Chronic Absenteeism,2018 - 2019,46,405,11.36
2019,Nelson County Public Schools,Rockfish River Elementary,Chronic Absenteeism,2018 - 2019,15,308,4.87
2019,Nelson County Public Schools,Tye River Elementary,Chronic Absenteeism,2018 - 2019,42,393,10.69
2019,New Kent County Public Schools,George W. Watkins Elementary,Chronic Absenteeism,2018 - 2019,55,711,7.74
2019,New Kent County Public Schools,New Kent Elementary ,Chronic Absenteeism,2018 - 2019,67,734,9.13
2019,New Kent County Public Schools,New Kent High ,Chronic Absenteeism,2018 - 2019,104,946,10.99
2019,New Kent County Public Schools,New Kent Middle ,Chronic Absenteeism,2018 - 2019,107,833,12.85
2019,Newport News City Public Schools,Achievable Dream Academy,Chronic Absenteeism,2018 - 2019,83,630,13.17
2019,Newport News City Public Schools,Achievable Dream Middle/High ,Chronic Absenteeism,2018 - 2019,35,469,7.46
2019,Newport News City Public Schools,B.C. Charles Elementary ,Chronic Absenteeism,2018 - 2019,66,459,14.38
2019,Newport News City Public Schools,B.T. Washington Middle ,Chronic Absenteeism,2018 - 2019,20,443,4.51
2019,Newport News City Public Schools,Carver Elementary,Chronic Absenteeism,2018 - 2019,70,693,10.1
2019,Newport News City Public Schools,Crittenden Middle,Chronic Absenteeism,2018 - 2019,129,1029,12.54
2019,Newport News City Public Schools,David A. Dutrow Elementary,Chronic Absenteeism,2018 - 2019,33,508,6.5
2019,Newport News City Public Schools,Deer Park Elementary,Chronic Absenteeism,2018 - 2019,20,538,3.72
2019,Newport News City Public Schools,Denbigh High,Chronic Absenteeism,2018 - 2019,199,1263,15.76
2019,Newport News City Public Schools,Discovery STEM Academy,Chronic Absenteeism,2018 - 2019,54,607,8.9
2019,Newport News City Public Schools,Ethel M. Gildersleeve Middle,Chronic Absenteeism,2018 - 2019,123,1157,10.63
2019,Newport News City Public Schools,General Stanford Elementary,Chronic Absenteeism,2018 - 2019,47,494,9.51
2019,Newport News City Public Schools,George J. McIntosh Elementary ,Chronic Absenteeism,2018 - 2019,59,442,13.35
2019,Newport News City Public Schools,Heritage High,Chronic Absenteeism,2018 - 2019,278,1147,24.24
2019,Newport News City Public Schools,Hidenwood Elementary,Chronic Absenteeism,2018 - 2019,58,567,10.23
2019,Newport News City Public Schools,Hilton Elementary,Chronic Absenteeism,2018 - 2019,28,397,7.05
2019,Newport News City Public Schools,Homer L. Hines Middle,Chronic Absenteeism,2018 - 2019,229,977,23.44
2019,Newport News City Public Schools,Horace H. Epes Elementary,Chronic Absenteeism,2018 - 2019,108,528,20.45
2019,Newport News City Public Schools,Huntington Middle,Chronic Absenteeism,2018 - 2019,77,264,29.17
2019,Newport News City Public Schools,J.M. Dozier Middle ,Chronic Absenteeism,2018 - 2019,220,1150,19.13
2019,Newport News City Public Schools,John Marshall Early Childhood Center,Chronic Absenteeism,2018 - 2019,30,137,21.9
2019,Newport News City Public Schools,Joseph H. Saunders Elementary,Chronic Absenteeism,2018 - 2019,116,754,15.38
2019,Newport News City Public Schools,Kiln Creek Elementary,Chronic Absenteeism,2018 - 2019,100,675,14.81
2019,Newport News City Public Schools,L.F. Palmer Elementary ,Chronic Absenteeism,2018 - 2019,48,419,11.46
2019,Newport News City Public Schools,Lee Hall Elementary,Chronic Absenteeism,2018 - 2019,91,531,17.14
2019,Newport News City Public Schools,Mary Passage Middle,Chronic Absenteeism,2018 - 2019,212,942,22.51
2019,Newport News City Public Schools,Menchville High,Chronic Absenteeism,2018 - 2019,165,1504,10.97
2019,Newport News City Public Schools,Newsome Park Elementary,Chronic Absenteeism,2018 - 2019,120,456,26.32
2019,Newport News City Public Schools,Oliver C. Greenwood Elementary,Chronic Absenteeism,2018 - 2019,57,642,8.88
2019,Newport News City Public Schools,R.O. Nelson Elementary ,Chronic Absenteeism,2018 - 2019,54,583,9.26
2019,Newport News City Public Schools,Richard T. Yates Elementary,Chronic Absenteeism,2018 - 2019,54,494,10.93
2019,Newport News City Public Schools,Richneck Elementary,Chronic Absenteeism,2018 - 2019,74,669,11.06
2019,Newport News City Public Schools,Riverside Elementary,Chronic Absenteeism,2018 - 2019,66,543,12.15
2019,Newport News City Public Schools,Sedgefield Elementary,Chronic Absenteeism,2018 - 2019,51,454,11.23
2019,Newport News City Public Schools,T. Ryland Sanford Elementary,Chronic Absenteeism,2018 - 2019,65,511,12.72
2019,Newport News City Public Schools,Warwick High,Chronic Absenteeism,2018 - 2019,341,1526,22.35
2019,Newport News City Public Schools,Willis A. Jenkins Elementary,Chronic Absenteeism,2018 - 2019,63,426,14.79
2019,Newport News City Public Schools,Woodside High,Chronic Absenteeism,2018 - 2019,326,1880,17.34
2019,Norfolk City Public Schools,Academy for Discovery at Lakewood,Chronic Absenteeism,2018 - 2019,9,757,1.19
2019,Norfolk City Public Schools,Azalea Gardens Middle,Chronic Absenteeism,2018 - 2019,176,879,20.02
2019,Norfolk City Public Schools,Bay View Elementary,Chronic Absenteeism,2018 - 2019,57,561,10.16
2019,Norfolk City Public Schools,Blair Middle,Chronic Absenteeism,2018 - 2019,257,1206,21.31
2019,Norfolk City Public Schools,Booker T Washington High,Chronic Absenteeism,2018 - 2019,196,871,22.5
2019,Norfolk City Public Schools,Camp Allen Elementary,Chronic Absenteeism,2018 - 2019,18,351,5.13
2019,Norfolk City Public Schools,Chesterfield Academy Elementary,Chronic Absenteeism,2018 - 2019,35,296,11.82
2019,Norfolk City Public Schools,Coleman Place Elementary,Chronic Absenteeism,2018 - 2019,62,544,11.4
2019,Norfolk City Public Schools,Crossroads Elementary,Chronic Absenteeism,2018 - 2019,81,830,9.76
2019,Norfolk City Public Schools,Fairlawn Elementary,Chronic Absenteeism,2018 - 2019,29,245,11.84
2019,Norfolk City Public Schools,Ghent K-8,Chronic Absenteeism,2018 - 2019,13,502,2.59
2019,Norfolk City Public Schools,Granby Elementary,Chronic Absenteeism,2018 - 2019,54,522,10.34
2019,Norfolk City Public Schools,Granby High,Chronic Absenteeism,2018 - 2019,428,1902,22.5
2019,Norfolk City Public Schools,Ingleside Elementary,Chronic Absenteeism,2018 - 2019,43,442,9.73
2019,Norfolk City Public Schools,Jacox Elementary,Chronic Absenteeism,2018 - 2019,73,521,14.01
2019,Norfolk City Public Schools,James Monroe Elementary,Chronic Absenteeism,2018 - 2019,43,223,19.28
2019,Norfolk City Public Schools,Lake Taylor,Chronic Absenteeism,2018 - 2019,83,500,16.6
2019,Norfolk City Public Schools,Lake Taylor High ,Chronic Absenteeism,2018 - 2019,243,1130,21.5
2019,Norfolk City Public Schools,Larchmont Elementary,Chronic Absenteeism,2018 - 2019,14,527,2.66
2019,Norfolk City Public Schools,Larrymore Elementary,Chronic Absenteeism,2018 - 2019,53,521,10.17
2019,Norfolk City Public Schools,Lindenwood Elementary,Chronic Absenteeism,2018 - 2019,65,288,22.57
2019,Norfolk City Public Schools,Little Creek Elementary,Chronic Absenteeism,2018 - 2019,89,633,14.06
2019,Norfolk City Public Schools,Mary Calcott Elementary School,Chronic Absenteeism,2018 - 2019,41,524,7.82
2019,Norfolk City Public Schools,Matthew Fontaine Maury High,Chronic Absenteeism,2018 - 2019,347,1642,21.13
2019,Norfolk City Public Schools,Northside Middle,Chronic Absenteeism,2018 - 2019,155,857,18.09
2019,Norfolk City Public Schools,Norview Elementary,Chronic Absenteeism,2018 - 2019,45,411,10.95
2019,Norfolk City Public Schools,Norview High,Chronic Absenteeism,2018 - 2019,273,1882,14.51
2019,Norfolk City Public Schools,Norview Middle,Chronic Absenteeism,2018 - 2019,221,1103,20.04
2019,Norfolk City Public Schools,Ocean View Elementary,Chronic Absenteeism,2018 - 2019,73,617,11.83
2019,Norfolk City Public Schools,Oceanair Elementary,Chronic Absenteeism,2018 - 2019,73,497,14.69
2019,Norfolk City Public Schools,P.B. Young Sr. Elementary ,Chronic Absenteeism,2018 - 2019,44,389,11.31
2019,Norfolk City Public Schools,Richard Bowling Elementary,Chronic Absenteeism,2018 - 2019,63,483,13.04
2019,Norfolk City Public Schools,Sewells Point Elementary,Chronic Absenteeism,2018 - 2019,46,561,8.2
2019,Norfolk City Public Schools,Sherwood Forest Elementary,Chronic Absenteeism,2018 - 2019,74,519,14.26
2019,Norfolk City Public Schools,Southside STEM Academy at Campostella ,Chronic Absenteeism,2018 - 2019,208,798,26.07
2019,Norfolk City Public Schools,St. Helena Elementary,Chronic Absenteeism,2018 - 2019,37,263,14.07
2019,Norfolk City Public Schools,Suburban Park Elementary,Chronic Absenteeism,2018 - 2019,47,415,11.33
2019,Norfolk City Public Schools,Tanners Creek Elementary,Chronic Absenteeism,2018 - 2019,61,509,11.98
2019,Norfolk City Public Schools,Tarrallton Elementary,Chronic Absenteeism,2018 - 2019,25,313,7.99
2019,Norfolk City Public Schools,Tidewater Park Elementary,Chronic Absenteeism,2018 - 2019,15,292,5.14
2019,Norfolk City Public Schools,Walter Herron Taylor Elementary,Chronic Absenteeism,2018 - 2019,13,317,4.1
2019,Norfolk City Public Schools,Willard Model Elementary,Chronic Absenteeism,2018 - 2019,45,459,9.8
2019,Norfolk City Public Schools,William H. Ruffner Middle,Chronic Absenteeism,2018 - 2019,194,592,32.77
2019,Northampton County Public Schools,Kiptopeke Elementary,Chronic Absenteeism,2018 - 2019,38,391,9.72
2019,Northampton County Public Schools,Northampton High,Chronic Absenteeism,2018 - 2019,105,457,22.98
2019,Northampton County Public Schools,Northampton Middle,Chronic Absenteeism,2018 - 2019,49,229,21.4
2019,Northampton County Public Schools,Occohannock Elementary,Chronic Absenteeism,2018 - 2019,49,402,12.19
2019,Northumberland County Public Schools,Northumberland Elementary,Chronic Absenteeism,2018 - 2019,76,546,13.92
2019,Northumberland County Public Schools,Northumberland High,Chronic Absenteeism,2018 - 2019,44,406,10.84
2019,Northumberland County Public Schools,Northumberland Middle,Chronic Absenteeism,2018 - 2019,25,287,8.71
2019,Norton City Public Schools,J.I. Burton High ,Chronic Absenteeism,2018 - 2019,33,307,10.75
2019,Norton City Public Schools,Norton Elementary,Chronic Absenteeism,2018 - 2019,89,480,18.54
2019,Nottoway County Public Schools,Blackstone Primary,Chronic Absenteeism,2018 - 2019,52,382,13.61
2019,Nottoway County Public Schools,Crewe Primary,Chronic Absenteeism,2018 - 2019,41,336,12.2
2019,Nottoway County Public Schools,Nottoway High,Chronic Absenteeism,2018 - 2019,114,604,18.87
2019,Nottoway County Public Schools,Nottoway Intermediate,Chronic Absenteeism,2018 - 2019,38,304,12.5
2019,Nottoway County Public Schools,Nottoway Middle,Chronic Absenteeism,2018 - 2019,38,303,12.54
2019,Orange County Public Schools,Gordon-Barbour Elementary,Chronic Absenteeism,2018 - 2019,44,323,13.62
2019,Orange County Public Schools,Lightfoot Elementary,Chronic Absenteeism,2018 - 2019,6,232,2.59
2019,Orange County Public Schools,Locust Grove Elementary,Chronic Absenteeism,2018 - 2019,29,408,7.11
2019,Orange County Public Schools,Locust Grove Middle,Chronic Absenteeism,2018 - 2019,76,582,13.06
2019,Orange County Public Schools,Locust Grove Primary School,Chronic Absenteeism,2018 - 2019,39,395,9.87
2019,Orange County Public Schools,Orange County High ,Chronic Absenteeism,2018 - 2019,296,1479,20.01
2019,Orange County Public Schools,Orange Elementary,Chronic Absenteeism,2018 - 2019,58,578,10.03
2019,Orange County Public Schools,Prospect Heights Middle,Chronic Absenteeism,2018 - 2019,92,527,17.46
2019,Orange County Public Schools,Unionville Elementary,Chronic Absenteeism,2018 - 2019,17,244,6.97
2019,Page County Public Schools,Luray Elementary,Chronic Absenteeism,2018 - 2019,45,416,10.82
2019,Page County Public Schools,Luray High,Chronic Absenteeism,2018 - 2019,80,518,15.44
2019,Page County Public Schools,Luray Middle,Chronic Absenteeism,2018 - 2019,48,378,12.7
2019,Page County Public Schools,Page County High,Chronic Absenteeism,2018 - 2019,105,582,18.04
2019,Page County Public Schools,Page County Middle,Chronic Absenteeism,2018 - 2019,84,389,21.59
2019,Page County Public Schools,Shenandoah Elementary,Chronic Absenteeism,2018 - 2019,48,328,14.63
2019,Page County Public Schools,Springfield Elementary,Chronic Absenteeism,2018 - 2019,15,229,6.55
2019,Page County Public Schools,Stanley Elementary,Chronic Absenteeism,2018 - 2019,58,399,14.54
2019,Patrick County Public Schools,Blue Ridge Elementary,Chronic Absenteeism,2018 - 2019,20,255,7.84
2019,Patrick County Public Schools,Hardin Reynolds Elementary,Chronic Absenteeism,2018 - 2019,14,207,6.76
